iMISID,ID,UJURIS,UJURIS1,NAME_CUT,UPO,NAMELSAD,TEST,USTATE,STATE_TITLE,COUNTYFP +,COUSUBFP,COUSUBNS,FIPS_PLACE_ID,ST_FIP,ICMA_REGION_CODE,UCNTY#,GEOID,UZIP,UTYPE,UID,UPOP,UGRAPH,UREGN,UMETRO,UFOG,STATEFP +,per_flood,drought,per_sea,flood_dummy,drought_dummy,sea_dummy,score_hazard,statereg,per_water,pop_total_log,pop_density_log,pop_growth,age_median,per_white,per_male,per_manufact,edu_bachelor,per_democrat,hh_oc,income_log,prior_env,prior_cli,greenaction,staffs,urban,impervious
199782,199782,City of Burkburnett,"BURKBURNETT, CITY OF",Burkburnett,Burkburnett,Burkburnett CCD,TRUE,TX,Texas,485,90525,1938580,11368,4811368,MP,485,4848590525,76354-2716,1,1,6,7,3,2,2,48,22.8694177,9,0,2,2,0,4,0,0,9.349754428,3.88695009,5.207284708,38.3,91.4,48.8,12,10.4163007,32.19,73.5,10.81126212,2,1,0,0,6,0
155146,155146,City of El Campo,"EL CAMPO, CITY OF",El Campo,El Campo,El Campo CCD,TRUE,TX,Texas,481,91180,1938714,22864,4822864,MP,481,4848191180,77437-4533,1,1,6,7,3,3,2,48,0.00432,11,3.37E-09,0,2,0,2,0,0,9.737432968,3.080713019,54.77386935,35.1,78.8,49.1,10.4,7.9294358,34.24,67.2,10.68853,1,1,0,0,2,0
199790,199790,City of Electra,"ELECTRA, CITY OF",Electra,Electra,Electra CCD,TRUE,TX,Texas,485,91195,1938717,22984,4822984,MP,485,4848591195,76360-2412,1,1,8,7,3,2,2,48,20.2200192,8.9422777,0,2,2,0,4,0,0,8.295798111,1.834689504,26.48358586,42.9,88.2,50.5,16.4,6.0788083,32.19,75.6,10.56836385,1,1,0,0,1,0
199739,199739,City of Gainesville,"GAINESVILLE, CITY OF",Gainesville,Gainesville,Gainesville CCD,TRUE,TX,Texas,97,91435,1938764,27984,4827984,MP,97,4809791435,76240-4866,1,1,6,7,3,3,2,48,22.2098666,9,0,2,2,0,4,0,0,9.646270021,5.269406051,-0.47625177,32.6,74.2,47.8,15.7,6.8359987,20.3,52.9,10.56635592,2,1,0,0,26,1
200791,200791,City of Gonzales,"GONZALES, CITY OF",Gonzales,Gonzales,Gonzales CCD,TRUE,TX,Texas,177,91565,1938790,30116,4830116,MP,177,4817791565,78629-0547,1,1,7,7,3,3,2,48,22.9843929,15,0,2,2,0,4,0,0,9.16136019,2.883766609,32.21327409,36.3,68,49.6,9.2,5.6884292,34.47,63.5,10.5304148,2,1,3,0,2,0
199330,199330,City of Greenville,"GREENVILLE, CITY OF",Greenville,Greenville,Greenville CCD,TRUE,TX,Texas,231,91640,1938805,30920,4830920,MP,231,4823191640,75403-1049,1,1,6,7,3,3,2,48,18.7776119,8.302654867,0,2,2,0,4,0,0.293858023,10.47723164,4.135350602,48.15525876,36.5,74.6,49.2,21.6,9.8509696,29.11,61.8,10.64511533,3,1,0,0,5,0
200159,200159,City of Hempstead,"HEMPSTEAD, CITY OF",Hempstead,Hempstead,Hempstead CCD,TRUE,TX,Texas,473,91770,1938835,33200,4833200,MP,473,4847391770,77445-4427,1,1,8,7,3,2,1,48,28.5364573,8.250626566,0,2,1,0,3,0,0,9.133567313,3.15223072,97.42059262,35.6,53.3,49.6,15.2,8.5478888,32.49,65,10.48329805,4,4,0,0,2,0
200411,200411,City of Navasota,"NAVASOTA, CITY OF",Navasota,Navasota,Navasota CCD,TRUE,TX,Texas,185,92710,1939023,50472,4850472,MP,185,4818592710,77868-0910,1,1,7,7,3,3,2,48,17.7480232,8.536684783,0,2,2,0,4,0,0,9.797849221,3.201951176,165.0611283,39,66.6,56.4,12.4,6.5177131,34.94,72.8,10.56882665,3,1,0,0,3,0
200202,200202,City of Pasadena,"PASADENA, CITY OF",Pasadena,Pasadena,Pasadena CCD,TRUE,TX,Texas,201,92975,1939076,56000,4856000,MP,201,4820192975,77501-0672,1,1,3,7,3,2,1,48,13.8564993,8,2.376145477,2,1,1,4,0,0,11.87278633,7.281605889,1.156881291,30.1,74.9,49.7,14.1,5.2036668,50.45,55.9,10.65899902,2,2,0,0,99,0
200334,200334,City of Port Arthur,"PORT ARTHUR, CITY OF",Port Arthur,Port Arthur,Port Arthur CCD,TRUE,TX,Texas,245,93097,1938704,58820,4858820,MP,245,4824593097,77641-1089,1,1,4,7,3,1,2,48,0,7,11.89990868,0,1,2,3,0,25.5512057,11.60885364,6.091919383,90.57743918,36.4,60.8,51.3,13.2,6.7855863,26,66.9,10.65318046,4,2,4,0,74,0
