network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
Mobvista,App_Generic,441_9216ab2940fd8b81,2016-04-19,ios,920,0.5467391304,0.297826086956522,0.4,0.301086956521739,0.102173913043478,0.016304347826087,0.0152173913043478,1,0.059782609
Mobvista,App_Generic,441_98be175f18ff1211,2016-04-19,android,1852,0.3228941685,0.172246220302376,0.168466522678186,0.188444924406048,0.0340172786177106,0.00539956803455724,0.00215982721382289,0,0.026457883
Mobvista,App_Generic,441_db31e0a485a2b6c7,2016-04-19,ios,271,0.5645756458,0.324723247232472,0.409594095940959,0.309963099630996,0.0627306273062731,0.003690036900369,0.018450184501845,1,0.036900369
Mobvista,App_Generic,6404_895d69c5ed316358,2016-04-19,android,618,0.9158576052,0.29126213592233,0.48705501618123,0.37378640776699,0.124595469255663,0.00647249190938511,0.00809061488673139,0,0.025889968
Mobvista,App_Generic,6404_a9732767cb7d5f56,2016-04-19,android,652,0.9033742331,0.271472392638037,0.447852760736196,0.348159509202454,0.0996932515337423,0.0122699386503067,0.00766871165644172,0,0.01993865
Mobvista,App_Generic,6404_abdfab4488f20142,2016-04-19,android,646,0.9148606811,0.295665634674923,0.493808049535604,0.402476780185758,0.123839009287926,0.0139318885448916,0.00619195046439629,0,0.027863777
Mobvista,App_Generic,6404_e165ad5ea8e9c41c,2016-04-19,android,608,0.9177631579,0.299342105263158,0.481907894736842,0.358552631578947,0.113486842105263,0.0148026315789474,0.00822368421052632,0,0.023026316
Mobvista,App_Generic,6404_eabf176351ca5098,2016-04-19,android,664,0.9156626506,0.308734939759036,0.474397590361446,0.375,0.114457831325301,0.016566265060241,0.00602409638554217,0,0.027108434
Mobvista,App_Generic,6981_aab3238922bcc25a,2016-04-19,android,347,0.9740634006,0.204610951008646,0.492795389048991,0.331412103746398,0.0576368876080692,0.00576368876080692,0.00576368876080692,0,0.014409222
Mobvista,App_Generic,6998_4b6d72dbb269b561,2016-04-19,android,309,0.8608414239,0.229773462783172,0.466019417475728,0.333333333333333,0.0485436893203883,0.0161812297734628,0.00647249190938511,0,0.022653722
Mobvista,App_Generic,6998_6da0fdc213913622,2016-04-19,android,267,0.8277153558,0.187265917602996,0.408239700374532,0.292134831460674,0.0411985018726592,0.0149812734082397,0,0,0.018726592
Mobvista,App_Generic,6998_b907c79431f2544f,2016-04-19,android,289,0.8823529412,0.221453287197232,0.460207612456747,0.325259515570934,0.0657439446366782,0.0173010380622837,0.0069204152249135,0,0.024221453
Mobvista,App_Generic,6998_cd91418538c6d901,2016-04-19,android,264,0.8522727273,0.181818181818182,0.382575757575758,0.265151515151515,0.0265151515151515,0.0113636363636364,0.00378787878787879,0,0.018939394
Mobvista,App_Generic,6998_d8274e53c12d5975,2016-04-19,android,277,0.8772563177,0.209386281588448,0.314079422382672,0.306859205776173,0.0505415162454874,0.0180505415162455,0.0072202166064982,0,0.036101083
Mobvista,App_Generic,7363_45c48cce2e2d7fbd,2016-04-19,android,205,0.843902439,0.219512195121951,0.4,0.302439024390244,0.0487804878048781,0.0048780487804878,0,0,0.024390244
Mobvista,App_Generic,7957_aab3238922bcc25a,2016-04-19,android,348,0.9597701149,0.169540229885057,0.517241379310345,0.376436781609195,0.0431034482758621,0.00574712643678161,0.00574712643678161,0,0.00862069
Mobvista,App_Generic,8277,2016-04-19,android,275,0.8472727273,0.181818181818182,0.4,0.250909090909091,0.04,0.0109090909090909,0,0,0.025454545
InMobi,App_Native,1072,2016-04-19,android,428,0.9906542056,0.219626168224299,0.301401869158879,0.268691588785047,0.044392523364486,0.00233644859813084,0.00233644859813084,0,0.011682243
InMobi,App_Native,1090,2016-04-19,android,2741,0.9518423933,0.291134622400584,0.488507843852609,0.438161255016417,0.0554542137905874,0.00839109813936519,0.00437796424662532,0,0.020065669
